"","respid","birth.year","age","years.nk","edu.nk","class.nk","gender","origins","female","years.sk","pride.socialism","pride.politicalinfluence","pride.economics","pride.science","pride.sports","pride.arts","pride.baekdublood","pride.military","pride.revolutionaryhist","pride.groups","pride.juche","pride.socialsecurity","year.survey","weights"
"194",194,1969,50,34,"<=Elementary","Middle",0,"Unspecified",0,15,2,3,1,NA,4,4,4,NA,NA,3,2,2,2016,NA
"195",195,1967,52,34,"Secondary School","Low",1,"North Hamgyong",1,6,4,2,2,2,2,2,1,4,2,2,1,4,2016,1.437181996
"196",196,1967,52,34,"Secondary School","High",1,"South Hamgyong",1,11,2,2,2,4,4,3,2,NA,2,2,2,2,2016,1.437181996
"197",197,1967,52,34,"University+","Middle",1,"North Pyongan",1,14,3,3,2,1,4,NA,3,4,1,1,3,1,2016,0.666874222
"198",198,1966,53,34,"<=Elementary","Middle",1,"South Hamgyong",1,4,4,4,4,4,4,4,4,4,4,4,4,4,2016,1.397260274
"199",199,1974,45,35,"University+","Middle",0,"North Hamgyong",0,6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2016,3
"200",200,1973,46,35,"Secondary School","Middle-low",1,"North Hamgyong",1,6,2,2,2,2,2,3,2,2,3,3,2,2,2016,1.437181996
"201",201,1973,46,35,"Secondary School","Middle",1,"North Hamgyong",1,10,3,2,2,2,2,4,4,4,3,3,2,2,2016,1.437181996
"202",202,1972,47,35,"Secondary School","Low",1,"North Hamgyong",1,NA,2,2,2,3,3,4,2,NA,1,2,1,2,2016,1.437181996
"203",203,1971,48,35,"Secondary School","Low",1,"North Hamgyong",1,12,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"204",204,1967,52,35,"Secondary School","Low",0,"North Hamgyong",0,13,4,3,2,3,3,4,2,3,3,4,3,4,2016,3
"205",205,1966,53,35,"Secondary School","Low",1,"Unspecified",1,3,2,2,2,1,2,2,2,2,2,2,2,1,2016,NA
"206",206,1966,53,35,"Secondary School","Low",1,"North Hamgyong",1,10,3,3,3,3,4,4,3,3,4,3,3,3,2016,1.437181996
"207",207,1966,53,35,"Technical Training","High",1,"North Pyongan",1,14,4,3,2,2,3,4,4,4,NA,1,4,2,2016,0.666874222
"208",208,1978,41,36,"Technical Training","Low",1,"Ryanggang",1,5,2,2,2,2,4,4,2,2,2,2,2,2,2016,3
"209",209,1975,44,36,"Secondary School","Low",0,"North Hwanghae",0,7,2,2,2,2,2,2,2,NA,2,2,2,2,2016,3
"210",210,1973,46,36,"University+","Low",0,"North Hamgyong",0,10,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"211",211,1971,48,36,"Secondary School","Middle",1,"North Hamgyong",1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1.437181996
"212",212,1971,48,36,"Secondary School","Low",0,"North Hamgyong",0,12,3,2,2,2,2,3,3,3,3,2,3,2,2016,3
"213",213,1966,53,36,"Secondary School","High",1,"North Pyongan",1,9,2,2,2,2,2,2,2,2,2,2,2,2,2016,0.718590998
"214",214,1965,54,36,"University+","Middle",0,"North Pyongan",0,14,NA,4,3,2,4,NA,3,4,2,2,3,3,2016,1.732323232
"215",215,1977,42,37,"University+","Low",0,"North Hamgyong",0,5,4,4,4,4,4,4,4,NA,NA,4,4,4,2016,3
"216",216,1974,45,37,"Technical Training","Low",0,"North Hamgyong",0,7,4,3,3,4,2,4,2,4,2,4,4,2,2016,3
"217",217,1972,47,37,"University+","Middle",1,"Unspecified",1,9,2,2,2,3,4,4,2,3,2,2,2,2,2016,NA
"218",218,1972,47,37,"Technical Training","High",0,"Unspecified",0,10,3,2,3,3,2,3,2,2,2,2,2,2,2016,NA
"219",219,1971,48,37,"<=Elementary","Middle-high",0,"Pyongyang",0,9,3,NA,NA,NA,NA,NA,3,NA,4,NA,4,NA,2016,1.814814815
"220",220,1971,48,37,"Technical Training","Middle-low",0,"Gangwon",0,10,3,2,2,2,2,2,2,2,2,2,2,2,2016,3
"221",221,1970,49,37,"Secondary School","Low",1,"South Hamgyong",1,5,2,3,2,3,4,NA,2,2,2,2,2,2,2016,1.437181996
"222",222,1966,53,37,"University+","Middle-low",0,"Jagang",0,11,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"223",223,1977,42,38,"Secondary School","Middle-low",1,"Jagang",1,3,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"224",224,1976,43,38,"University+","Middle",1,"Pyongyang",1,5,2,3,2,2,4,2,2,2,2,2,2,2,2016,0.666874222
"225",225,1974,45,38,"Technical Training","Middle-low",1,"Ryanggang",1,6,2,2,2,2,4,2,2,2,2,2,2,2,2016,3
"226",226,1973,46,38,"Technical Training","Low",0,"Ryanggang",0,7,2,3,2,2,2,3,2,3,2,2,2,3,2016,3
"227",227,1971,48,38,"Secondary School","Low",1,"North Hamgyong",1,1,4,3,3,3,NA,4,NA,NA,4,3,3,3,2016,1.437181996
"228",228,1971,48,38,"Technical Training","High",1,"North Hamgyong",1,10,4,4,3,4,4,4,3,4,3,3,3,3,2016,1.333748443
"229",229,1970,49,38,"Secondary School","Middle",0,"Unspecified",0,11,3,2,2,2,2,3,2,4,2,2,2,2,2016,NA
"230",230,1969,50,38,"Secondary School","Low",1,"North Hamgyong",1,9,2,2,2,2,2,3,2,2,2,2,2,2,2016,1.437181996
"231",231,1968,51,38,"Secondary School","Low",1,"North Hamgyong",1,1,4,3,3,2,4,4,2,2,2,2,2,4,2016,1.437181996
"232",232,1965,54,38,"University+","Middle-low",0,"Pyongyang",0,14,2,3,NA,NA,NA,NA,2,NA,2,NA,4,NA,2016,1.732323232
"233",233,1963,56,38,"Secondary School","Middle-low",1,"South Pyongan",1,9,4,4,2,4,4,NA,2,2,2,3,2,2,2016,0.718590998
"234",234,1971,48,39,"Secondary School","Middle",1,"North Hamgyong",1,5,3,2,2,2,3,4,2,2,2,3,3,2,2016,1.437181996
"235",235,1971,48,39,"University+","Middle",1,"South Pyongan",1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,0.666874222
"236",236,1967,52,39,"Secondary School","Low",1,"Unspecified",1,12,2,2,2,2,2,2,2,2,2,3,2,2,2016,NA
"237",237,1967,52,39,"Secondary School","Low",1,"North Hamgyong",1,12,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"238",238,1978,41,40,"Secondary School","High",0,"Ryanggang",0,NA,2,2,2,3,3,4,2,NA,2,2,1,2,2016,3
"239",239,1975,44,40,"University+","Low",1,"Pyongyang",1,4,2,2,2,2,2,2,2,3,2,2,2,2,2016,0.666874222
"240",240,1973,46,40,"Secondary School","Middle",0,"North Hwanghae",0,5,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"241",241,1973,46,40,"Technical Training","Middle",0,"Ryanggang",0,6,3,4,2,3,3,2,3,4,4,3,3,3,2016,3
"242",242,1970,49,40,"Secondary School","Middle-high",1,"North Hamgyong",1,5,4,4,4,4,4,4,4,NA,4,4,NA,4,2016,1.437181996
"243",243,1969,50,40,"Secondary School","Middle",1,"North Hamgyong",1,2,2,2,2,NA,4,4,2,2,2,4,2,2,2016,1.437181996
"244",244,1967,52,40,"<=Elementary","Middle-low",1,"Pyongyang",1,12,3,2,1,1,1,1,1,1,1,2,2,1,2016,0.698630137
"245",245,1961,58,40,"University+","Middle",0,"Gangwon",0,9,3,2,NA,1,4,4,2,2,2,1,1,1,2016,3
"246",246,1961,58,40,"Secondary School","Low",1,"South Hamgyong",1,12,3,NA,4,2,2,4,2,1,NA,2,2,3,2016,1.437181996
"247",247,1966,53,41,"Technical Training","High",1,"North Hamgyong",1,10,3,3,3,3,4,4,3,3,3,3,3,4,2016,1.333748443
"248",248,1966,53,41,"Secondary School","Low",1,"North Hamgyong",1,10,3,3,3,2,NA,2,2,2,NA,1,1,2,2016,1.437181996
"249",249,1974,45,42,"Secondary School","High",1,"North Hwanghae",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2.155772994
"250",250,1970,49,42,"Secondary School","Middle-low",0,"North Hamgyong",0,6,2,4,2,3,3,4,2,3,2,3,3,2,2016,3
"251",251,1969,50,42,"Secondary School","Middle",1,"North Hamgyong",1,7,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"252",252,1966,53,42,"Secondary School","Middle",0,"North Hamgyong",0,10,2,2,2,2,2,1,1,2,1,2,1,2,2016,3
"253",253,1965,54,42,"Secondary School","Low",0,"North Hamgyong",0,12,2,3,2,4,2,4,2,2,2,2,2,2,2016,3
"254",254,1959,60,42,"Secondary School","Low",0,"North Hamgyong",0,10,2,2,2,3,NA,NA,2,2,4,1,1,3,2016,3
"255",255,1973,46,43,NA,"Middle-low",1,"Gangwon",1,NA,3,2,2,1,1,2,1,3,1,1,1,2,2016,NA
"256",256,1972,47,43,"Secondary School","Low",0,"Pyongyang",0,4,2,2,2,2,4,3,2,2,2,2,2,2,2016,1.866666667
"257",257,1971,48,43,"Technical Training","Middle",1,"South Pyongan",1,4,2,2,2,2,2,4,2,4,2,2,2,2,2016,0.666874222
"258",258,1971,48,43,"Secondary School","Low",1,"North Hamgyong",1,5,4,4,3,2,3,3,2,4,3,3,2,3,2016,1.437181996
"259",259,1969,50,43,"<=Elementary","Low",1,"Gangwon",1,4,2,2,2,2,NA,NA,2,4,4,2,2,2,2016,2.794520548
"260",260,1966,53,43,"Secondary School","Low",1,"North Hamgyong",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2016,1.437181996
"261",261,1960,59,43,"University+","Middle",1,"North Hamgyong",1,13,2,2,2,2,4,4,2,2,2,2,2,2,2016,1.333748443
"262",262,1968,51,44,"Secondary School","High",1,"North Hamgyong",1,6,2,2,3,2,1,4,2,NA,4,2,2,2,2016,1.437181996
"263",263,1966,53,44,"Secondary School","Middle",0,"South Pyongan",0,5,4,4,3,2,3,NA,4,NA,3,2,2,2,2016,1.866666667
"264",264,1966,53,44,NA,NA,1,"Ryanggang",1,9,1,4,NA,NA,NA,NA,1,2,1,NA,2,NA,2016,NA
"265",265,1957,62,44,"Secondary School","Low",1,"North Pyongan",1,9,1,1,2,1,1,1,1,1,2,1,2,1,2016,0.718590998
"266",266,1970,49,45,"Secondary School","Low",1,"North Hamgyong",1,4,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"267",267,1969,50,45,"Secondary School","Low",1,"North Hamgyong",1,5,3,3,3,3,NA,3,NA,NA,2,NA,NA,3,2016,1.437181996
"268",268,1969,50,46,"University+","Middle",0,"Ryanggang",0,4,2,2,2,4,3,3,2,2,2,2,2,2,2016,3
"269",269,1968,51,46,"Technical Training","Middle-low",1,"North Hamgyong",1,4,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.333748443
"270",270,1964,55,46,"University+","Low",1,"Ryanggang",1,5,2,2,2,2,2,3,2,2,2,2,2,2,2016,3
"271",271,1964,55,46,"Secondary School","Low",1,"Ryanggang",1,5,3,2,2,2,2,4,2,2,2,2,2,2,2016,3
"272",272,1962,57,46,"Secondary School","High",0,"North Hamgyong",0,11,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"273",273,1961,58,46,"Secondary School","Middle",0,"North Hamgyong",0,12,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"274",274,1970,49,48,"Secondary School","Middle-low",1,"South Hamgyong",1,NA,3,3,3,4,NA,NA,3,NA,3,4,3,3,2016,1.437181996
"275",275,1968,51,48,"Technical Training","Middle",1,"North Hamgyong",1,2,2,2,2,2,2,3,2,3,2,2,2,2,2016,1.333748443
"276",276,1965,54,48,"Technical Training","Middle-low",1,"North Hamgyong",1,6,NA,NA,4,4,NA,NA,4,4,4,3,3,NA,2016,1.333748443
"277",277,1953,66,48,"Secondary School","Low",1,"China",1,10,3,3,3,NA,NA,NA,3,NA,3,3,3,3,2016,NA
"278",278,1961,58,49,"Secondary School","Low",0,"South Hwanghae",0,4,2,1,2,2,2,2,2,2,2,3,2,2,2016,3
"279",279,1968,51,50,"Secondary School","Low",1,"Ryanggang",1,1,3,2,2,3,2,4,2,4,2,2,3,2,2016,3
"280",280,1962,57,50,"Secondary School","Middle",1,"North Hamgyong",1,6,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"281",281,1962,57,50,"Secondary School","Middle-low",1,"Ryanggang",1,6,2,2,2,3,4,4,2,2,2,2,2,2,2016,3
"282",282,1961,58,50,"Secondary School","Low",1,"South Hwanghae",1,4,2,2,3,2,2,3,2,2,2,4,2,2,2016,2.155772994
"283",283,1953,66,50,"Secondary School","Low",1,"North Hamgyong",1,16,2,2,2,3,3,2,3,3,3,3,2,2,2016,1.437181996
"284",284,1951,68,50,"Secondary School",NA,1,"Pyongyang",1,7,4,NA,2,1,1,NA,2,4,4,4,1,1,2016,0.718590998
"285",285,1950,69,50,"University+","High",0,"North Hamgyong",0,14,3,3,2,3,4,4,3,3,4,3,3,2,2016,3
"286",286,1950,69,50,"Secondary School","High",1,"China",1,15,1,2,1,1,1,3,1,1,1,1,1,1,2016,NA
"287",287,1950,69,51,"Secondary School","Low",0,"South Hamgyong",0,10,4,3,3,4,NA,NA,3,NA,1,1,1,3,2016,3
"288",288,1962,57,52,"University+","Low",1,"South Hamgyong",1,5,NA,3,3,NA,NA,NA,2,NA,1,3,3,2,2016,1.333748443
"289",289,1949,70,52,"Secondary School","Low",1,"South Hamgyong",1,6,2,2,2,2,1,1,2,2,2,2,2,2,2016,1.437181996
"290",290,1963,56,53,"Technical Training","Middle",1,"Gangwon",1,3,2,2,2,2,2,2,2,2,2,2,2,2,2016,2.667496887
"291",291,1955,64,53,"Technical Training","Low",1,"North Hamgyong",1,11,3,2,2,2,2,3,2,2,2,2,2,2,2016,1.333748443
"292",292,1953,66,53,"Secondary School","Middle-low",1,"South Pyongan",1,12,2,2,2,2,4,3,2,2,2,2,2,1,2016,0.718590998
"293",293,1948,71,53,"Secondary School","Low",1,"North Hamgyong",1,5,4,1,1,1,NA,NA,4,4,4,1,3,1,2016,1.437181996
"294",294,1948,71,53,"Secondary School","Low",1,"Pyongyang",1,12,3,2,2,3,4,4,2,2,1,2,2,1,2016,0.718590998
"295",295,1948,71,53,"Secondary School","High",1,"Japan",1,15,2,2,2,3,2,2,2,NA,3,3,2,2,2016,NA
"296",296,1963,56,54,"Secondary School","Middle-low",1,"Ryanggang",1,2,2,2,2,2,2,2,2,NA,2,2,2,2,2016,3
"297",297,1958,61,54,"Secondary School","Low",0,"China",0,7,3,3,3,4,4,4,3,4,3,3,3,3,2016,NA
"298",298,1952,67,55,"Technical Training","High",1,"Pyongyang",1,9,2,1,3,2,3,3,2,1,2,2,2,2,2016,0.666874222
"299",299,1948,71,55,"Secondary School","High",1,"North Pyongan",1,7,3,2,2,4,4,4,3,4,3,3,2,2,2016,0.718590998
"300",300,1944,75,55,NA,"Low",0,"China",0,15,2,2,2,4,4,NA,2,4,2,2,2,2,2016,NA
"301",301,1961,58,56,"Secondary School","Low",1,"Unspecified",1,2,1,1,1,1,1,1,1,1,1,1,1,1,2016,NA
"302",302,1962,57,57,"Secondary School","Low",1,"Ryanggang",1,NA,3,2,3,2,4,4,1,2,4,2,3,2,2016,3
"303",303,1959,60,57,"University+","Middle-low",0,"Ryanggang",0,3,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"304",304,1954,65,57,"Secondary School","Low",1,"North Hamgyong",1,7,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"305",305,1948,71,57,"Secondary School","Low",1,"North Hamgyong",1,14,3,2,2,4,4,4,2,3,3,2,2,2,2016,1.437181996
"306",306,1944,75,57,"University+","High",0,"North Hamgyong",0,18,3,2,2,4,4,4,2,4,2,2,2,3,2016,3
"307",307,1959,60,58,"Technical Training","Middle",1,"Ryanggang",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"308",308,1949,70,58,"Secondary School","High",1,"North Hamgyong",1,11,2,2,2,3,3,4,2,4,2,2,2,2,2016,1.437181996
"309",309,1942,77,58,"Secondary School","Middle-high",1,"Pyongyang",1,19,3,3,3,3,3,3,3,3,3,3,3,3,2016,0.718590998
"310",310,1942,77,58,"Secondary School","Low",1,"North Pyongan",1,19,3,2,1,2,3,2,1,1,1,1,1,1,2016,0.718590998
"311",311,1950,69,59,"Secondary School","Middle",1,"North Hamgyong",1,10,3,3,3,3,3,4,3,3,3,3,3,3,2016,1.437181996
"312",312,1948,71,59,"University+","High",1,"China",1,12,2,2,2,2,2,2,2,2,2,3,2,2,2016,NA
"313",313,1951,68,60,"Technical Training","Low",1,"Pyongyang",1,8,2,2,2,2,3,4,1,2,1,2,2,2,2016,0.666874222
"314",314,1941,78,60,"<=Elementary","Middle",1,"China",1,9,2,2,2,2,2,2,2,2,2,2,2,2,2016,NA
"315",315,1941,78,60,"University+","High",0,"South Hamgyong",0,16,4,2,2,4,3,4,2,4,2,2,2,3,2016,3
"316",316,1949,70,61,"University+","Low",1,"North Pyongan",1,9,2,2,2,3,3,4,2,4,2,2,2,2,2016,0.666874222
"317",317,1948,71,61,"Secondary School","High",1,"North Hamgyong",1,10,3,3,2,3,2,2,2,3,3,3,2,2,2016,1.437181996
"318",318,1947,72,61,"Secondary School","Middle",1,"Japan",1,8,2,3,3,4,4,4,1,1,2,2,2,2,2016,NA
"319",319,1953,66,62,"Secondary School","High",1,"Japan",1,4,3,3,2,3,2,NA,2,NA,3,3,2,2,2016,NA
"320",320,1952,67,62,"Secondary School","Low",0,"Pre-war South Korea",0,3,2,2,2,2,2,3,3,4,2,2,2,1,2016,NA
"321",321,1945,74,62,"Technical Training","High",1,"South Hwanghae",1,9,3,2,2,3,4,4,1,2,1,2,2,1,2016,2.000622665
"322",322,1942,77,62,"Secondary School","Low",1,"North Hamgyong",1,7,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"323",323,1948,71,63,"Secondary School","Low",0,"North Hamgyong",0,7,2,3,3,NA,NA,NA,2,2,2,4,2,NA,2016,3
"324",324,1943,76,63,"<=Elementary","Middle",1,"North Hamgyong",1,13,4,3,3,3,3,4,3,3,3,3,3,4,2016,1.397260274
"325",325,1937,82,63,"Secondary School","Middle",0,"Pyongyang",0,19,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.866666667
"326",326,1946,73,64,"Secondary School","Low",1,"Ryanggang",1,9,3,2,3,2,4,4,2,3,2,3,2,4,2016,3
"327",327,1945,74,64,"<=Elementary","High",1,"South Hamgyong",1,9,3,3,3,3,3,4,3,3,3,3,3,3,2016,1.397260274
"328",328,1951,68,65,"Secondary School","Low",0,"North Hamgyong",0,3,2,2,2,2,2,3,2,2,2,2,2,2,2016,3
"329",329,1949,70,65,"Secondary School","High",0,"North Hamgyong",0,5,3,3,2,4,4,4,3,4,3,3,2,4,2016,3
"330",330,1945,74,65,"Secondary School","High",1,"South Hamgyong",1,9,2,2,2,3,2,4,2,NA,3,3,2,2,2016,1.437181996
"331",331,1942,77,65,"<=Elementary","Middle-high",0,"South Hamgyong",0,8,2,2,2,4,NA,NA,2,3,1,NA,1,3,2016,3
"332",332,1946,73,66,"University+","High",0,"North Hamgyong",0,7,2,2,2,2,2,2,2,3,2,2,2,2,2016,3
"333",333,1943,76,66,"Secondary School","Middle",1,"North Hamgyong",1,10,4,3,3,3,4,4,3,3,3,3,3,4,2016,1.437181996
"334",334,1941,78,66,"University+","Middle",1,"South Hamgyong",1,10,3,3,2,4,3,3,1,1,1,1,1,2,2016,1.333748443
"335",335,1941,78,66,"Secondary School","Low",0,"North Hamgyong",0,12,3,1,2,1,1,3,1,3,1,2,1,3,2016,3
"336",336,1949,70,67,"Technical Training","Middle",0,"Pyongyang",0,2,2,2,2,2,3,2,2,2,2,2,2,2,2016,1.732323232
"337",337,1943,76,67,"Secondary School","Low",1,"South Hamgyong",1,8,3,3,NA,NA,NA,NA,3,1,3,NA,4,NA,2016,1.437181996
"338",338,1935,84,67,"<=Elementary","High",1,"North Hamgyong",1,13,4,3,3,3,3,4,3,3,3,2,2,4,2016,1.397260274
"339",339,1945,74,68,"Secondary School","Middle-low",0,"North Hamgyong",0,5,2,2,2,2,2,4,2,2,2,2,2,1,2016,3
"340",340,1941,78,70,"Secondary School","Middle",1,"North Hwanghae",1,8,2,2,2,2,3,2,2,2,2,2,2,2,2016,2.155772994
"341",341,2000,19,NA,"Secondary School","Middle",1,"North Hamgyong",1,NA,4,4,4,4,4,4,4,4,4,4,4,4,2016,1.437181996
"342",342,1968,51,NA,"Secondary School","Middle",0,"Unspecified",0,NA,2,NA,NA,NA,NA,NA,3,4,NA,NA,2,NA,2016,NA
"343",343,NA,NA,NA,"Secondary School","Middle",0,"Ryanggang",0,1,3,3,3,3,3,3,3,3,3,3,3,3,2016,3
"344",344,NA,NA,NA,"University+","Middle-low",0,"Ryanggang",0,1,4,4,3,3,4,4,4,4,4,3,4,3,2016,3
"345",345,NA,NA,NA,"<=Elementary","Middle",0,"Unspecified",0,1,4,4,4,4,3,4,3,4,3,NA,2,4,2016,NA
"346",346,NA,NA,NA,"Secondary School","Middle",1,"North Hamgyong",1,2,2,2,2,3,4,3,2,4,2,2,2,3,2016,1.437181996
"347",347,NA,NA,NA,"University+","Middle-low",0,"Ryanggang",0,2,3,3,3,3,3,3,2,3,NA,2,2,2,2016,3
"348",348,NA,NA,NA,"<=Elementary","Low",0,"Unspecified",0,3,2,2,2,3,4,3,2,2,2,2,2,2,2016,NA
"349",349,NA,NA,NA,"Secondary School","Middle",0,"Ryanggang",0,3,3,3,2,4,4,4,2,4,4,2,3,2,2016,3
"350",350,NA,NA,NA,"Secondary School","High",1,"North Hamgyong",1,5,2,2,2,2,3,3,2,2,2,3,2,2,2016,1.437181996
"351",351,NA,NA,NA,"Technical Training","Middle",1,"Ryanggang",1,NA,4,3,2,NA,4,NA,3,NA,3,3,3,2,2016,3
"352",352,NA,NA,NA,"Secondary School","Middle",0,"Ryanggang",0,NA,3,2,2,NA,4,NA,3,NA,3,3,3,2,2016,3
"353",353,1979,40,32,"Secondary School","Middle-low",1,"North Hamgyong",1,7,2,2,2,3,3,3,3,3,3,2,3,2,2019,1.437181996
"354",354,1969,50,35,"Secondary School","Low",1,"North Hamgyong",1,3,2,2,1,4,3,4,2,4,3,NA,2,2,2019,1.437181996
"355",355,1966,53,40,"Technical Training","Low",1,"Gangwon",1,7,3,3,2,3,3,2,2,2,2,2,2,2,2019,2.667496887
"356",356,1979,40,36,"Secondary School","Middle-low",1,"Ryanggang",1,1,3,3,3,3,3,3,3,3,3,3,3,3,2019,3
"357",357,1989,30,22,"University+","High",0,"Ryanggang",0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,3
"358",358,1988,31,19,"Secondary School",NA,1,"South Pyongan",1,3,4,3,1,3,3,3,3,2,3,3,3,3,2019,0.718590998
"359",359,1963,56,NA,"Secondary School","Middle-high",NA,"North Hamgyong",NA,NA,4,1,1,3,4,4,3,4,3,3,4,1,2019,NA
"360",360,1970,49,30,"Secondary School","Middle",1,"South Hamgyong",1,4,3,3,2,2,3,3,2,2,2,2,2,1,2019,1.437181996
"361",361,1995,24,13,"Secondary School","Middle",1,"South Hamgyong",1,6,3,2,2,4,4,4,3,NA,3,3,3,1,2019,1.437181996
"362",362,1966,53,41,"Technical Training","Middle",1,"North Hamgyong",1,12,4,1,1,3,4,3,1,3,1,1,1,1,2019,1.333748443
"363",363,1971,48,40,"Secondary School","Middle-high",1,"North Hamgyong",1,8,2,2,2,3,2,3,2,2,2,2,3,2,2019,1.437181996
"364",364,1975,44,36,"Secondary School","Low",1,"Ryanggang",1,7,3,3,2,4,3,NA,3,4,4,3,3,3,2019,3
"365",365,1974,45,36,"University+","Middle",0,"North Hamgyong",0,8,2,2,2,3,2,2,2,4,2,2,2,2,2019,3
"366",366,1957,62,42,"Secondary School","Middle",1,"North Hamgyong",1,15,3,2,4,4,4,2,2,2,4,3,2,1,2019,1.437181996
"367",367,1972,47,40,"Secondary School","Middle",0,"South Hamgyong",0,7,3,2,4,4,NA,NA,2,2,2,3,2,2,2019,3
"368",368,1946,73,61,"Technical Training","Middle-low",1,"Nampo",1,9,2,3,4,3,4,4,1,NA,2,2,1,1,2019,NA
"369",369,1970,49,39,"Technical Training","High",1,"North Hamgyong",1,7,3,3,2,3,3,3,2,3,3,2,2,2,2019,1.333748443
"370",370,1973,46,44,"Technical Training","Middle-low",1,"Gangwon",1,2,3,3,2,2,3,2,2,2,2,2,2,2,2019,2.667496887
"371",371,1981,38,23,"Secondary School","Middle-low",1,"North Hamgyong",1,6,2,3,3,3,3,2,2,2,1,1,1,1,2019,1.437181996
"372",372,1974,45,32,"Secondary School","Middle",1,"North Hamgyong",1,5,2,2,2,2,3,4,1,4,1,1,1,1,2019,1.437181996
"373",373,1978,41,20,"Secondary School","Low",1,"North Hamgyong",1,5,2,2,2,3,3,3,2,2,2,2,2,2,2019,1.437181996
"374",374,1988,31,21,"University+","Middle",1,"Ryanggang",1,4,2,2,2,2,4,4,2,2,3,2,2,2,2019,3
"375",375,1969,50,29,"Secondary School","Low",1,"North Hamgyong",1,9,1,4,NA,NA,NA,NA,4,4,3,4,3,4,2019,1.437181996
"376",376,1956,63,56,"Technical Training","High",0,"Ryanggang",0,6,2,2,2,2,3,4,2,2,2,2,2,2,2019,3
"377",377,1998,21,14,"<=Elementary","Low",0,"North Hamgyong",0,7,4,2,2,3,4,4,3,4,4,4,4,4,2019,3
"378",378,1977,42,41,"Secondary School","Middle",1,"Ryanggang",1,1,3,3,3,4,4,3,2,3,2,2,2,2,2019,3
"379",379,1991,28,22,"Secondary School","Low",1,"Ryanggang",1,1,1,2,1,1,2,3,1,3,1,1,1,1,2019,3
"380",380,1980,39,33,"Secondary School","Middle-low",1,"Ryanggang",1,1,2,2,2,2,2,3,2,2,2,2,2,2,2019,3
"381",381,1960,59,46,NA,"Low",1,"North Hamgyong",1,9,2,2,2,2,2,2,2,2,2,2,2,2,2019,NA
"382",382,1970,49,33,"Secondary School","Low",1,"North Hamgyong",1,9,4,4,3,NA,4,4,4,NA,NA,4,NA,4,2019,1.437181996
"383",383,1961,58,46,"Technical Training","Low",1,"North Hamgyong",1,8,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.333748443
"384",384,1974,45,24,"Secondary School","Middle",0,"North Hamgyong",0,16,2,2,2,3,2,4,2,3,2,2,2,2,2019,3
"385",385,1988,31,25,"Technical Training","High",0,"Ryanggang",0,5,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"386",386,1974,45,25,"Secondary School","Middle-high",1,"North Hamgyong",1,13,3,4,2,2,1,3,2,2,2,2,3,2,2019,1.437181996
"387",387,1975,44,23,"Secondary School","Middle",1,"North Hamgyong",1,15,4,3,3,4,4,4,3,NA,3,3,3,4,2019,1.437181996
"388",388,1964,55,37,"Secondary School","Low",1,"North Hamgyong",1,12,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"389",389,1987,32,22,"Secondary School","Middle",1,"North Hamgyong",1,9,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.437181996
"390",390,1986,33,17,"Secondary School","Middle",1,"Ryanggang",1,8,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"391",391,NA,NA,NA,"Secondary School","Middle",NA,"North Hamgyong",NA,8,2,2,2,2,2,2,2,2,2,2,2,2,2019,NA
"392",392,1976,43,35,"Secondary School","Middle-low",0,"Pyongyang",0,8,2,2,2,2,2,2,2,2,2,2,2,2,2019,1.866666667
"393",393,1970,49,40,"Secondary School","Middle-high",0,"North Hamgyong",0,9,2,2,2,2,2,2,2,2,2,2,2,2,2019,3
"394",394,1968,51,40,"Secondary School","Middle-low",1,"North Hamgyong",1,1,2,2,2,2,3,3,2,NA,2,2,2,2,2019,1.437181996
